id,name,address,rating,review,telephone
1,Aman Kumar,"1686, 160022, Chandigarh",4.0/5,"I'm really happy with your service, looking forward to seeing you again",070153 51514
2,Xyz Biz,"Kil, Delhi, 110001, Delhi",N/A,N/A,090900 90900
3,Ethereal Salon,"Shop No 8, Unity Complex, Kiran Tower, B Wing, Link Road,Rajan Pada, Near Toyota Showroom, Malad (W), 400064, Mumbai",3.5/5,,073048 76101
4,Shushant Stylo,"F-38, 250004, Meerut",N/A,N/A,070615 30482
5,zaplontech,"kothrud, 411038, Bhusari Colony",N/A,N/A,087931 13399
6,The Art of Shaving * This is Booksy Demo Account *,"110001, Baroda House",N/A,N/A,11111
7,Test Saloon,"Tirtol Bazaar, 30, 754141, Tirtol",N/A,N/A,089172 90584
8,Cutbooker,"351, Inside Rd, 201012, Ghaziabad",4.0/5,Had a wonderful experience,088882 43159
9,Ast,"6/3/70/1, 500004, Hyderabad",N/A,N/A,097008 87181
10,Shyam Barber,"D-203, 250004, Meerut",N/A,N/A,070615 30482
11,GREEN APPLE HAIR STUDIO THENERY,"Kakkavayal Thenery, Thottithara Appartment, 673121, Vythiri",N/A,N/A,094960 85208
12,Znxbbd,"Shdhg, Bdhdh, 160055, Mohali",N/A,N/A,090170 66657
13,Salon,"A-804, Xyz Society, 380002, Ahmedabad",N/A,N/A,098765 43210
14,Sha Salon,"8-18, 600101, Anna Nagar Western Extn",N/A,N/A,098765 43211
15,Vighnaharta Events and Entertainment,"Maneja, Indralok Apartment, 390013, Vadodara",N/A,N/A,099934 03835
16,Colors Beauty Parlour,"443 G D Naidu Hall Main Road, 560086, Bengaluru",N/A,N/A,080506 58382
17,Pravesh Loungre,"Kondarwada, 7999459469, 461661, Babai",N/A,N/A,079994 59469
18,Toes & Tresses Boutique Salon & Spa-Bandra,"Shop No. 5, Shiv Asthan Heights, Near shree sagar Restaurant,16th Road,, 400050, Mumbai",N/A,N/A,099672 23458
19,The Nail Box,"Shop no 4 , Ground floor , Coral Classic Commercial Complex, Near Enrich Salon,, 400071, Chembur",N/A,N/A,097699 76995
20,Sunny Astrologer,"New delhi, 110046, Nangal Raya",N/A,N/A,087002 20377
21,RK Apple Repairs,"1, Shakti Square, Vastrapur, 380015, Ahmedabad",N/A,N/A,081607 44099
22,Mayur Sallon,"D-203, 250004, Meerut",N/A,N/A,098111 88435
23,Manish Sallon,"D-354, 250004, Meerut",N/A,N/A,098111 88435
